,date,cal,step,dist,stop,light_act,heavy_act,hard_act,burn_cal,yesterday,sleep_time,awake_time,awake_count,total_sleep,rem,light_sleep,deep_sleep,target,inter
9,2022/10/11,2898,3243,2.3,699,234,38,4,1287,4.0,333,50,17,383,100.0,145.0,88.0,2.0,1
10,2022/10/12,2659,5662,3.97,766,175,11,16,950,2.0,279,28,21,307,84.0,129.0,66.0,2.0,1
11,2022/10/13,2127,910,0.65,1058,46,23,6,384,2.0,494,52,35,546,161.0,236.0,97.0,3.0,1
12,2022/10/14,2371,2444,1.74,644,141,0,0,616,3.0,230,29,22,259,69.0,133.0,28.0,3.0,1
13,2022/10/15,3486,6463,4.56,851,136,96,98,2016,3.0,408,37,34,445,111.0,220.0,77.0,3.0,1
14,2022/10/16,2629,3123,2.2,833,101,33,28,881,3.0,306,73,10,379,96.0,160.0,50.0,2.0,1
15,2022/10/17,2556,2460,1.75,733,151,19,3,814,2.0,346,58,29,404,81.0,193.0,72.0,3.0,1
16,2022/10/18,2709,3237,2.3,818,185,31,2,1025,3.0,388,56,26,444,122.0,185.0,81.0,3.0,1
