,date,cal,step,dist,stop,light_act,heavy_act,hard_act,burn_cal,yesterday,sleep_time,awake_time,awake_count,total_sleep,rem,light_sleep,deep_sleep,target,inter
8,2022/10/13,1806,9991,6.56,839,163,6,31,739,3.0,332,32,16,364,60.0,189.0,83.0,2.0,1
9,2022/10/14,1891,12931,8.49,821,197,36,22,870,2.0,360,88,11,448,27.0,249.0,84.0,3.0,1
10,2022/10/15,2522,12570,8.25,513,377,50,52,1689,3.0,325,79,20,404,7.0,226.0,92.0,1.0,1
11,2022/10/16,1802,4414,2.9,816,204,13,3,712,1.0,727,66,33,793,189.0,426.0,112.0,3.0,1
12,2022/10/17,1495,4616,3.03,538,88,7,14,352,3.0,356,53,25,409,67.0,249.0,40.0,4.0,1
13,2022/10/18,1733,9063,5.97,810,182,19,20,661,4.0,355,41,23,396,87.0,230.0,38.0,4.0,1
14,2022/10/19,1786,11848,8.22,845,152,10,37,719,4.0,602,75,40,677,84.0,401.0,117.0,2.0,1
15,2022/10/20,1372,2436,1.6,701,62,0,0,194,2.0,365,52,20,417,57.0,208.0,100.0,2.0,1
